Book of	Isaiah
013:015	Every one that is found shall be thrust through; and every one that is joined unto them shall fall by the sword.
013:016	Their children also shall be dashed to pieces before their eyes; their houses shall be spoiled, and their wives ravished.
013:017	Behold, I will stir up the Medes against them, which shall not regard silver; and as for gold, they shall not delight in it.
013:018	Their bows also shall dash the young men to pieces; and they shall have no pity on the fruit of the womb; their eyes shall not spare children.
013:019	And Babylon, the glory of kingdoms, the beauty of the Chaldees' excellency, shall be as when God overthrew Sodom and Gomorrah.
013:020	It shall never be inhabited, neither shall it be dwelt in from generation to generation: neither shall the Arabian pitch tent there; neither shall the shepherds make their fold there.
013:021	But wild beasts of the desert shall lie there; and their houses shall be full of doleful creatures; and owls shall dwell there, and satyrs shall dance there.
013:022	And the wild beasts of the islands shall cry in their desolate houses, and dragons in their pleasant palaces: and her time is near to come, and her days shall not be prolonged.
014:001	For the LORD will have mercy on Jacob, and will yet choose Israel, and set them in their own land: and the strangers shall be joined with them, and they shall cleave to the house of Jacob.
014:002	And the people shall take them, and bring them to their place: and the house of Israel shall possess them in the land of the LORD for servants and handmaids: and they shall take them captives, whose captives they were; and they shall rule over their oppressors.
014:003	And it shall come to pass in the day that the LORD shall give thee rest from thy sorrow, and from thy fear, and from the hard bondage wherein thou wast made to serve,
014:004	That thou shalt take up this proverb against the king of Babylon, and say, How hath the oppressor ceased! the golden city ceased!
014:005	The LORD hath broken the staff of the wicked, and the sceptre of the rulers.
014:006	He who smote the people in wrath with a continual stroke, he that ruled the nations in anger, is persecuted, and none hindereth.
014:007	The whole earth is at rest, and is quiet: they break forth into singing.
014:008	Yea, the fir trees rejoice at thee, and the cedars of Lebanon, saying, Since thou art laid down, no feller is come up against us.
014:009	Hell from beneath is moved for thee to meet thee at thy coming: it stirreth up the dead for thee, even all the chief ones of the earth; it hath raised up from their thrones all the kings of the nations.
014:010	All they shall speak and say unto thee, Art thou also become weak as we? art thou become like unto us?
014:011	Thy pomp is brought down to the grave, and the noise of thy viols: the worm is spread under thee, and the worms cover thee.
014:012	How art thou fallen from heaven, O Lucifer, son of the morning! how art thou cut down to the ground, which didst weaken the nations!
014:013	For thou hast said in thine heart, I will ascend into heaven, I will exalt my throne above the stars of God: I will sit also upon the mount of the congregation, in the sides of the north:
014:014	I will ascend above the heights of the clouds; I will be like the most High.
014:015	Yet thou shalt be brought down to hell, to the sides of the pit.
014:016	They that see thee shall narrowly look upon thee, and consider thee, saying, Is this the man that made the earth to tremble, that did shake kingdoms;
014:017	That made the world as a wilderness, and destroyed the cities thereof; that opened not the house of his prisoners?
014:018	All the kings of the nations, even all of them, lie in glory, every one in his own house.
014:019	But thou art cast out of thy grave like an abominable branch, and as the raiment of those that are slain, thrust through with a sword, that go down to the stones of the pit; as a carcase trodden under feet.
014:020	Thou shalt not be joined with them in burial, because thou hast destroyed thy land, and slain thy people: the seed of evildoers shall never be renowned.
014:021	Prepare slaughter for his children for the iniquity of their fathers; that they do not rise, nor possess the land, nor fill the face of the world with cities.
014:022	For I will rise up against them, saith the LORD of hosts, and cut off from Babylon the name, and remnant, and son, and nephew, saith the LORD.
014:023	I will also make it a possession for the bittern, and pools of water: and I will sweep it with the besom of destruction, saith the LORD of hosts.
014:024	The LORD of hosts hath sworn, saying, Surely as I have thought, so shall it come to pass; and as I have purposed, so shall it stand:
014:025	That I will break the Assyrian in my land, and upon my mountains tread him under foot: then shall his yoke depart from off them, and his burden depart from off their shoulders.
014:026	This is the purpose that is purposed upon the whole earth: and this is the hand that is stretched out upon all the nations.
014:027	For the LORD of hosts hath purposed, and who shall disannul it? and his hand is stretched out, and who shall turn it back?
014:028	In the year that king Ahaz died was this burden.
014:029	Rejoice not thou, whole Palestina, because the rod of him that smote thee is broken: for out of the serpent's root shall come forth a cockatrice, and his fruit shall be a fiery flying serpent.
014:030	And the firstborn of the poor shall feed, and the needy shall lie down in safety: and I will kill thy root with famine, and he shall slay thy remnant.
